Position,Starting Grid,kaggle_driver_id,finished,dnf,laps_down,time_gap_sec,year,Team,Track,raceId,rain,sunny
6,7,865.0,1.0,0.0,0.0,66.169,2025,Kick Sauber,Hungary,1158,0.0,1.0
7,6,840.0,1.0,0.0,0.0,68.174,2025,Aston Martin,Hungary,1158,0.0,1.0
8,9,859.0,1.0,0.0,0.0,69.451,2025,Racing Bulls,Hungary,1158,0.0,1.0
9,8,830.0,1.0,0.0,0.0,72.645,2025,Red Bull Racing,Hungary,1158,0.0,1.0
10,15,863.0,1.0,0.0,1.0,,2025,Mercedes,Hungary,1158,0.0,1.0
11,10,864.0,1.0,0.0,1.0,,2025,Racing Bulls,Hungary,1158,0.0,1.0
12,12,1.0,1.0,0.0,1.0,,2025,Ferrari,Hungary,1158,0.0,1.0
13,18,807.0,1.0,0.0,1.0,,2025,Kick Sauber,Hungary,1158,0.0,1.0
14,13,832.0,1.0,0.0,1.0,,2025,Williams,Hungary,1158,0.0,1.0
15,19,848.0,1.0,0.0,1.0,,2025,Williams,Hungary,1158,0.0,1.0
16,17,839.0,1.0,0.0,1.0,,2025,Haas,Hungary,1158,0.0,1.0
17,20,852.0,1.0,0.0,1.0,,2025,Red Bull Racing,Hungary,1158,0.0,1.0
18,14,861.0,1.0,0.0,1.0,,2025,Alpine,Hungary,1158,0.0,1.0
19,16,842.0,1.0,0.0,1.0,,2025,Alpine,Hungary,1158,0.0,1.0
NC,11,860.0,0.0,1.0,,,2025,Haas,Hungary,1158,0.0,1.0
1,1,857.0,1.0,0.0,0.0,0.0,2025,McLaren,Netherlands,1159,1.0,0.0
2,3,830.0,1.0,0.0,0.0,1.271,2025,Red Bull Racing,Netherlands,1159,1.0,0.0
3,4,864.0,1.0,0.0,0.0,3.233,2025,Racing Bulls,Netherlands,1159,1.0,0.0
4,5,847.0,1.0,0.0,0.0,5.654,2025,Mercedes,Netherlands,1159,1.0,0.0
